time,process_id,action,resource_id
0,P6,request,R6
1,P9,request,R9
2,P16,request,R16
3,P10,request,R10
4,P7,request,R7
5,P8,request,R8
6,P12,request,R12
7,P15,request,R15
8,P13,request,R13
9,P5,request,R5
10,P11,request,R11
11,P2,request,R2
12,P1,request,R1
13,P4,request,R4
14,P14,request,R14
15,P3,request,R3
16,P1,request,R10
17,P10,request,R12
18,P12,request,R13
19,P13,request,R4
20,P13,request,R7
21,P13,request,R8
22,P12,request,R6
23,P13,request,R9
24,P5,request,R8
25,P5,request,R14
26,P8,request,R9
27,P4,request,R2
28,P9,request,R17
29,P16,request,R18
30,P9,request,R19
31,P7,request,R20
32,P14,request,R21
33,P11,request,R22
34,P3,request,R23
35,P11,request,R24
36,P4,request,R1
37,P9,request,R25
38,P4,request,R26
39,P10,request,R27
40,P15,request,R28
41,P9,request,R29
42,P16,request,R30
43,P12,request,R31
44,P2,request,R32
45,P9,request,R33
46,P10,request,R34
47,P5,request,R35
48,P11,request,R36
