time,process_id,action,resource_id
0,P8,request,R8
1,P6,request,R6
2,P7,request,R7
3,P5,request,R5
4,P4,request,R4
5,P9,request,R9
6,P2,request,R2
7,P3,request,R3
8,P1,request,R1
9,P3,request,R9
10,P9,request,R7
11,P7,request,R2
12,P2,request,R4
13,P7,request,R8
14,P9,request,R4
15,P9,request,R1
16,P9,request,R6
17,P3,request,R6
18,P2,request,R1
19,P7,request,R1
20,P9,request,R2
21,P3,request,R4
22,P8,request,R10
23,P1,request,R11
24,P3,request,R12
25,P3,request,R13
26,P2,request,R3
27,P8,request,R14
28,P7,request,R15
29,P5,request,R16
30,P6,request,R17
31,P9,request,R18
32,P5,request,R19
33,P4,request,R20
34,P4,request,R21
35,P3,request,R22
36,P9,request,R23
37,P6,request,R24
38,P8,request,R25
