time,process_id,action,resource_id
0,P14,request,R14
1,P2,request,R2
2,P12,request,R12
3,P1,request,R1
4,P8,request,R8
5,P7,request,R7
6,P6,request,R6
7,P4,request,R4
8,P13,request,R13
9,P17,request,R17
10,P16,request,R16
11,P15,request,R15
12,P11,request,R11
13,P18,request,R18
14,P9,request,R9
15,P3,request,R3
16,P10,request,R10
17,P5,request,R5
18,P18,request,R10
19,P10,request,R3
20,P3,request,R8
21,P8,request,R5
22,P3,request,R15
23,P5,request,R6
24,P3,request,R2
25,P8,request,R2
26,P10,request,R11
27,P2,request,R14
28,P6,request,R14
29,P18,request,R7
30,P5,request,R19
31,P10,request,R20
32,P5,request,R18
33,P8,request,R21
34,P15,request,R22
35,P10,request,R23
36,P18,request,R24
37,P2,request,R25
38,P12,request,R26
39,P12,request,R27
40,P16,request,R28
41,P14,request,R29
42,P14,request,R30
43,P7,request,R31
44,P6,request,R32
