time,process_id,action,resource_id
0,P3,request,R3
1,P20,request,R20
2,P2,request,R2
3,P7,request,R7
4,P5,request,R5
5,P8,request,R8
6,P18,request,R18
7,P13,request,R13
8,P15,request,R15
9,P14,request,R14
10,P11,request,R11
11,P17,request,R17
12,P9,request,R9
13,P21,request,R21
14,P19,request,R19
15,P4,request,R4
16,P12,request,R12
17,P16,request,R16
18,P1,request,R1
19,P6,request,R6
20,P10,request,R10
21,P22,request,R22
22,P10,request,R4
23,P4,request,R16
24,P16,request,R20
25,P20,request,R12
26,P12,request,R9
27,P3,request,R8
28,P13,request,R19
29,P10,request,R3
30,P13,request,R18
31,P4,request,R19
32,P19,request,R21
33,P10,request,R14
34,P4,request,R13
35,P21,request,R22
36,P4,request,R1
37,P3,request,R15
38,P1,request,R22
39,P1,request,R21
40,P13,request,R14
41,P22,request,R23
42,P10,request,R24
43,P13,request,R25
44,P3,request,R26
45,P21,request,R27
46,P9,request,R10
47,P17,request,R28
48,P5,request,R29
49,P3,request,R30
50,P17,request,R31
51,P19,request,R32
52,P17,request,R33
53,P11,request,R34
54,P6,request,R35
55,P9,request,R36
56,P19,request,R37
57,P17,request,R38
58,P12,request,R39
59,P9,request,R40
60,P4,request,R41
