time,process_id,action,resource_id
0,P8,request,R8
1,P12,request,R12
2,P5,request,R5
3,P20,request,R20
4,P2,request,R2
5,P17,request,R17
6,P11,request,R11
7,P23,request,R23
8,P15,request,R15
9,P22,request,R22
10,P28,request,R28
11,P16,request,R16
12,P19,request,R19
13,P10,request,R10
14,P30,request,R30
15,P14,request,R14
16,P25,request,R25
17,P9,request,R9
18,P27,request,R27
19,P6,request,R6
20,P7,request,R7
21,P24,request,R24
22,P13,request,R13
23,P21,request,R21
24,P1,request,R1
25,P29,request,R29
26,P4,request,R4
27,P3,request,R3
28,P18,request,R18
29,P26,request,R26
30,P31,request,R31
31,P2,request,R10
32,P10,request,R15
33,P15,request,R4
34,P4,request,R12
35,P6,request,R23
36,P9,request,R14
37,P25,request,R27
38,P13,request,R16
39,P22,request,R30
40,P1,request,R24
41,P5,request,R13
42,P10,request,R23
43,P11,request,R13
44,P6,request,R26
45,P2,request,R8
46,P21,request,R22
47,P8,request,R28
48,P15,request,R23
49,P9,request,R23
50,P15,request,R18
51,P20,request,R30
52,P28,request,R32
53,P11,request,R33
54,P24,request,R34
55,P13,request,R35
56,P12,request,R2
57,P11,request,R36
58,P27,request,R37
59,P5,request,R38
60,P26,request,R39
61,P5,request,R40
62,P6,request,R41
63,P25,request,R42
64,P19,request,R43
65,P12,request,R44
66,P4,request,R45
67,P7,request,R46
68,P25,request,R47
69,P23,request,R48
70,P16,request,R49
