time,process_id,action,resource_id
0,P15,request,R15
1,P31,request,R31
2,P4,request,R4
3,P30,request,R30
4,P13,request,R13
5,P12,request,R12
6,P6,request,R6
7,P18,request,R18
8,P19,request,R19
9,P17,request,R17
10,P23,request,R23
11,P34,request,R34
12,P26,request,R26
13,P29,request,R29
14,P21,request,R21
15,P14,request,R14
16,P20,request,R20
17,P33,request,R33
18,P9,request,R9
19,P11,request,R11
20,P28,request,R28
21,P10,request,R10
22,P27,request,R27
23,P32,request,R32
24,P2,request,R2
25,P22,request,R22
26,P1,request,R1
27,P8,request,R8
28,P5,request,R5
29,P25,request,R25
30,P7,request,R7
31,P24,request,R24
32,P16,request,R16
33,P3,request,R3
34,P20,request,R30
35,P30,request,R1
36,P1,request,R12
37,P12,request,R22
38,P3,request,R32
39,P18,request,R23
40,P5,request,R7
41,P3,request,R26
42,P13,request,R17
43,P10,request,R28
44,P4,request,R32
45,P4,request,R10
46,P18,request,R34
47,P20,request,R11
48,P3,request,R7
49,P11,request,R27
50,P13,request,R15
51,P13,request,R14
52,P23,request,R35
53,P10,request,R36
54,P10,request,R37
55,P25,request,R38
56,P18,request,R39
57,P11,request,R40
58,P22,request,R20
59,P1,request,R41
60,P21,request,R42
61,P6,request,R43
62,P27,request,R44
63,P12,request,R45
64,P22,request,R46
65,P33,request,R47
66,P10,request,R48
67,P17,request,R49
68,P29,request,R50
69,P28,request,R51
70,P7,request,R52
71,P24,request,R53
72,P33,request,R54
